id,name,type,acidity,fizziness,intensity,sweetness,tannin,flavor1,flavor2,flavor3,flavor4,flavor5,average_rating,price_amount,price_currency,review_count,food_ids,food_names
1171671,Margaux,Margaux,4.2452188,,3.827806,1.3505505,3.8045642,oak,leather,plum,blackberry,earthy,4,29.348839465189343,USD,6295,4; 8; 11; 20,"Beef; Lamb; Game (deer, venison); Poultry"
1112219,Pomerol,Pomerol,3.2897153,,4.291344,1.516721,3.5357642,oak,leather,tobacco,plum,vanilla,4,35.86960622113483,USD,6246,4; 8; 11; 20,"Beef; Lamb; Game (deer, venison); Poultry"
1194181,Pomerol,Pomerol,3.4356174,,4.231121,1.5973923,3.5079803,oak,plum,leather,tobacco,vanilla,4,58.68690080350936,USD,6119,4; 8; 11; 20,"Beef; Lamb; Game (deer, venison); Poultry"
2472,Malbec,Malbec,2.8209612,,3.9005945,2.0978806,2.6805193,leather,oak,tobacco,plum,dark fruit,4,18.48010680227246,USD,6080,4; 8; 10,Beef; Lamb; Pork
31554,Sauvignon Blanc,Sauvignon Blanc,4.060016,,2.9891648,1.3016052,,citrus,tropical,lime,grapefruit,passion fruit,4,31.225008045218985,USD,5909,13; 19; 39,Shellfish; Vegetarian; Goat cheese
1149558,Saint-Émilion Grand Cru (Grand Cru Classé),Saint-Émilion,3.409814,,4.162745,1.630903,3.5025816,oak,leather,blackberry,plum,vanilla,4,39.124600535672904,USD,5855,4; 8; 11; 20,"Beef; Lamb; Game (deer, venison); Poultry"
1164695,Rioja Reserva,Rioja Red,3.7055738,,3.9036195,1.6412238,3.7163296,oak,vanilla,chocolate,cherry,leather,4,40.78368397742888,USD,55214,4; 8; 9; 20,Beef; Lamb; Veal; Poultry
31564,M3 Chardonnay,Chardonnay,3.3164895,,3.457787,1.8630145,,oak,butter,citrus,vanilla,cream,4,43.01404169494452,USD,5544,10; 12; 19; 20,"Pork; Rich fish (salmon, tuna etc); Vegetarian; Poultry"
1711342,Grande Cuvée Chablis 1er Cru,Chablis,3.977242,,3.028044,1.3392683,,minerals,citrus,green apple,lemon,apple,4,31.54363057629265,USD,5178,10; 12; 13; 35,"Pork; Rich fish (salmon, tuna etc); Shellfish; Mild and soft cheese"
10249,Reserva,Rioja Red,3.7716467,,3.9156964,1.5934519,3.8572695,oak,vanilla,leather,cherry,plum,3.9,41.4209290395762,USD,31397,4; 8; 9; 20,Beef; Lamb; Veal; Poultry
